element_id,rating,name,text,word_count,sd,ave_sentiment
31,5,arthur marcoux,I had problems with your software for my smart phone. Aside from that the doctor was great and I was able to get my 3 month refill which will afford me time to search for another doctor. Mine passed on unexpectedly,40,0.161865227225009,0.0251067128090138
32,5,Anthony,"Good doctors that listen to you, better than going to see one at least in the area that I live in.",21,,0.338237729865788
34,5,David,I’m participating in a study through the organization Fitbit. Their watch uncovered an abnormal heart beat. It is currently being investigated through the sensor I just returned. I appreciate the free service from Fitbit. Hope to hear from someone soon.,41,0.218409403420951,0.123879496005131
35,5,Andrew,"Extremely convenient and efficient. As someone who travels constantly and has a frequently changing schedule, it’s comforting to know I can book an appointment at my convenience when needed and interface with a doctor who will order labs, renew my prescriptions and contact me with my results. I found the physicians to be caring and thorough. As a former RN, I was very pleased with the care I received.",70,0.536234477280353,0.837567776906587
36,5,Thomas,I have nothing but praise for the way my issue was dealt with and the efficiency with which  my prescription was forwarded to a nearby pharmacy.,26,,0.291722751018049
37,5,John Conte,"I wanted a convenient and reasonably priced option for visiting a doctor without having to go to an in person visit. As someone who usually uses urgent care, this site offered everything I was looking for. I easily set up an appointment and met with a doctor. The doctor was wonderful and was able to quickly find solutions that worked for my ailment. I am so glad that this option exists for us. I will be using this site again for any future ailments.",84,0.316028967238011,0.183293067045929
39,5,Robert,Doctor  was friendly and understood my concerns. He went over the types of antibiotics that I would need for my infection and recommended the correct one with minimal side effects of which I had none. I am 100% better thanks to him!,41,0.275996112042293,0.256659651659751
40,5,Mark,PlushCare has been amazing so far to me. My doctor is super nice and very thorough.,16,0.7375,0.698267946421716
41,5,Kelly,"The sign up is easy, and my doctor was prompt and Very Helpful!",13,,0.895840816903745
42,5,Kris M.,"Great, thorough and caring doctor.  Easy to schedule with so many options and prescriptions sent direction to my pharmacy!",19,0.323155859821566,0.442314693389938
43,5,Jay,"As a high risk probability for COVID due to congenital issues I really appreciate the fast responses, thorough service, and excellent care that these doctors and this service provide.",29,,0.510662179986893
44,5,Catherine,I am very happy to have found PlushCare. Someone who has not seen a Dr. in many years it is hard to find a Dr. in my area that will except a person with out insurance. I am going to be 65 in March and have been waiting for my medicare to become effective. Not only is PlushCare affordable for me but I found a Doctor who listens to me. I will be using PlushCare for as long as possible. Thank you for being here.,84,0.324919680039048,0.261810575227765
45,5,Kateri,Your service is wonderful. I was able to meet with a doctor within the same day and receive treatment. Dr. Barrow’s was extremely helpful and I’m happy to use PlushCare again in the future.,36,0.362640391798445,0.321765488387103
46,3,Christine Bluett,I signed up for my husband on my phone and all the info that went into the system was mine. The Dr had to redo everything. While we like the service the ap form is very lousey.,37,0.0870388279778489,0.0736058822166509
48,5,Sal,Dr. Marks was amazing,4,,0.25
49,5,Teresa,Wonderful and caring physician. Dr.Klenk spent more time with me then my in person PCP! DEFINITELY would recommend Plushcare.,20,0.294566159743085,0.190032063144111
50,2,Kris,"I like the concept of Plushcare a lot. The Doctor I choose as my primary is fantastic. What Im not happy with is if something is wrong, such as, your prescription is misread and or inputted incorrectly and the pharmacy needs it corrected or has questions and you send a message to plushcare to resolve it it may take 24 to 48 hours to be resolved. This is completely unacceptable and needs to be fixed! There needs to be a way for a pharmacy to be able to contact the doctor quickly.",90,0.307392062699254,0.150080804789324
51,5,Andrew,"As always, Plush Cares Doctors were responsive to my every need, took the time to listen and provide top-notch medical advise. In this Covid era, it's great to have Plush Care here on my side!",36,0.35320053759185,0.78427297907478
52,5,Toni,I really  liked every aspect of the process...my physician was outstanding:1.  This was an easy way to communicate with your physician felt as though I was I. The same room with him... he was thorough as you can be when in a virtual environment 2.  Your app was easy to use 3.  Got my  script within 30 minutes of the appointment,59,0.159180213865512,0.256710271361497
53,5,Barbara,I am so happy to have this service available to me.  The doctor was friendly and efficient. I needed a refill on my prescription as I had moved to a new state and hadn’t yet found a new doctor. She asked me the relevant questions and spent about as much time with me as my previous doctor had! I will stick with her as long as I can.   Quick and professional. Recommended highly.,74,0.344206169077309,0.488873073403647
54,5,Misty,"I had an amazing experience. My MD was spot on. I would def recommend this to anyone who does not want to possibly expose themself to the Corona Virus, someone who doesn’t have a ride to their appointment or someone who’s just too sick and doesn’t feel like leaving home.",53,0.290835923883714,0.180398869489074
55,5,Natalia,Honestly if I can get all of my medical appts here I will,13,,0
57,5,Deborah,Excellent appointment!  Dr. Marks was on time and very thorough.  Always has time for any questions that I may have.  Highly recommend Plushcare!,23,0.525391014393259,0.65217967731397
58,5,charles,excellent service to the public.,5,,0.447213595499958
59,5,Terri Thompson,Thank you for such insight and appropriate action for what was going on in my hand.,16,,0.4375
60,5,Ivan White,If I had only one word to use to describe PlushCare and their team of Doctors it would be Extraordinary!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,20,,-0.0670820393249937
61,5,Timonthy,"The Service is very good, fast, and friendly, thank you all so much.",13,,0.998460353205413
62,5,Michael Monahan,Great customer service and care from setting up the appointment to meeting with the doctor.,15,,0.387298334620742
63,5,Maria,Very helpful and extremely convenient! But little too costly 😔😖😕,9,1.53072410522798,0.719885394932415
64,5,Kristine,It's wonderful to have talented and kind doctors available when I am ill.,13,,0.56856770113086
65,5,Les,Great  excellent care thank you,5,,1.34164078649987
67,5,J L,"Great and convenient, caring experience.",5,,0.581377674149945
68,5,Laura,Good experience.  Got data explained and sent so I could take it to my doctor.,15,0.375,0.28939387817473
69,5,Kim,"Efficient, timely, friendly and successful outcome!",6,,1.02062072615966
70,5,Allen,I've been very pleased with my customer experience since using Plush and I've recommended your services to many of my friends.,21,,0.512812042054582
71,5,Cassandra,Dr. Jernick was amazing. She really listens to you and is very kind and compassionate. She explains things well and takes the time to answer any questions that you have.,30,0.260783575767622,0.378319879032566
72,5,M.M.,I drive over the road all over the country I was kind of afraid to walk into a walk in clinic and I have to say the doctor who attended me over the phone on face chat did a marvellous job very nice to care of me on a very personal level which I felt comfortable and yes I would use their service again,64,,0.79625
73,5,Yesenia,Dr Riad was very professional and kind.  I would definitely see him again.  My husband is thinking of becoming his patient indefinitely.  I would recommend him to all my family and friends.,32,0.395581706311323,0.315512116382188
74,5,Angalo,"Thank You very much. Nick is the young man who took my call. He is professional and his patience to be sure I understood the video call made this possible. My Doctor is smart, kind and sincere. I felt better even before I picked up my medicine.",47,0.202336174082259,0.362609937292037
75,5,Lester,"Dr. Garcia was very pleasant and although my reason was a minor one, she made me feel as though I was important.",22,,0.720831621998319
76,5,Julie,The service was professional and so convenient.  I will be using it from now on.,15,0.427617987059879,0.33000007374008
77,5,Ted,"Great service, highly recommend.",4,,0.7
78,5,Tara,Excellent customer service! Excellent experience with my doctor. My prescriptions were ready within 30 minutes for pickup. I highly recommend this app. It also covers my whole family at no extra charge.,31,0.269210577523078,0.316681541341486
79,5,Chris,Very helpful and convenient. Customer for over a year and will continue using.  Highly recommend!,15,0.635131849895668,0.721576478800409
80,5,Robert Davis,One of the BEST Doctors I have ever had to see.  And to think they do this online and they are GREAT.  I recommend this service to anyone that needs a doctor in these times or other times.,38,0.0294824053101491,0.171602881009379
81,5,Angela,Great communication and promotion action. The physician was very professional. Love the experience❤️,13,0.0701091178681948,0.478257051937375
82,5,Sheila,"I'd never shopped with them before and was super impressed with how nice and helpful they were. Very pleasant, I will definitely shop again.",24,0.0523237725860918,0.643337557003721
83,5,Katheryn in Taos,Dr. Marks is such a great physician & a great friend. He's very smart & thorough. I wish he were here in New Mexico so I could go & see him. I have never had a doctor who listens like Dr. Marks. I love him!,42,0.610560747103511,0.420641584242458
84,5,Scott,I need some information on what I need to tell clients to do for reviews - I need someone I can text the clients info to. Please let me know the procedure,31,0.347576645937814,0.325773803324704
85,5,K. Rothschild,Love the personal attention and patience of the doctor.,9,,0.5
86,5,mark,Very pleased and impressed with my first visitPlushcare Doctor and customer service were professional and very helpful.,17,,1.22237955018312
87,5,Ann,It was so easy start to finish.  The doctor was very through!,12,0.213808993529939,0.16500003687004
88,5,Dana,Fast professional operation I would recommend to everyone no waiting like at emerge care,14,,0.21380899352994
89,5,Michelle,"Awesome service.  Great doctors, quick appointments, so much convenience.  I love this service!",13,0.2940288551758,0.568792934644691
90,1,Jeremiah,The first Dr. was an awesome experience. But when second Dr. did not do what he said. I called hotline and was treated so horrible even got hung up on.,30,0.363811032616887,-0.0912900273389091
91,5,Brian,"From start to finish it was simple, professional, and it's going to be the main Doctor I use from now on.",21,,0.261861468283191
92,5,Martha,Plush care is great!! Use it quite often. Thus far everyone is fantastic!!,13,0.508949834913367,0.471450820882557
93,5,Britney,"I absolutely loved being able to fill out the paper work online before arriving, receiving text reminders, and the link for easy check in. The techs were warm  and kind. I was also grateful that they were knowledgeable in finding veins. There was no digging around in my arm. Great experience all the way around. Will use again!",58,0.217277492512263,0.292101080674116
94,5,Luis Alberto,The team and doctor were great with all of their help.  Greatly appreciate.,13,0.343399641822195,0.393575887678387
95,5,JJ,"Great service, very easy to use.",6,,0.938971068066885
97,5,n/a,"Got my blood pressure medicine within a couple of hours, problem solved. Good service.",14,0.466855865354369,0.200213137661122
98,5,Edward,in this time of COVID its easy to see a doctor and get a prescription all done online.,18,,0.188561808316413
99,5,MK,"Truly the best, they have pioneered this space and excelled in it, been a customer from the beginning and will still do.",22,,0.362441217804538
100,5,Betty,Dr was very good and the video worked beautifully.  It's a really nice alternative when your loved one can't get out of the house and you badly need advice.,29,0.652060634957024,0.472256836610416
101,5,Slightly disappointed,"This was the first time I'd ever try an online, virtual Dr. appt. You have a choice of doctors w/their bios, easy to choose appt slots and they take take insurance. I realize that not everything can be handled virtually, but this is a great alternative to going out during the pandemic. I had a UTI and the Dr quickly diagnosed it and sent the prescription to CVS. Totally an A++ experience.",73,0.213833640163394,0.0691189694980386
102,1,Chad,"The experience with the website and doctor was great.  A month later a received a charge for a monthly subscription fee, which I did not sign up for.",28,0.117851130197758,0.0909477216405446
103,5,James,Doctor was courteous and helpful. I had a very pleasant experience. I will continue to use PlushCare.,17,0.313140997747545,0.522988877423479
105,5,keisha S,Dr. Andert was excellent.  Very attentive and she really listened.  I got an appointment within an hour.  Happy to have found plushcare.,22,0.263578405962754,0.383859322202333
106,5,Caralyn,So easy and convenient. Customer service is awesome!!!!,8,0.353553390593274,0.55
107,5,Jerilee,Legit. Fast easy and affordable.,5,0.919238815542512,0.709392228796248
108,5,Annie,My Doctor was very personalized to my needs.,8,,0.509116882454314
109,5,Floyd,Fast and friendly service!! It was an awesome experience for me.,11,0.458361688390774,0.550889341902768
110,5,Sherry,I gave a long feedback prior to this one. Amazing Doctors and so easy to use right from home. I love PlushCare.  I've used it a lot in the past four years or so.  I couldn't imagine not having them available .,41,0.308231061710618,0.361327816260516
111,5,Jonathan,My doctor was extremely kind and knowledgable. As someone who travels consistently for work and doesn't have a home base this is a game changer. Also the PlushCare customer service rep got back to me immediately and got in touch with my doctor about extra questions I had after the appt. Solid company.,53,0.113295333987567,0.181256854569437
112,5,Rao Katta,"This service the excellent. Easy, crystal clear understanding and very helpful doctors and their supporting  team.",16,0.952841138891088,1.1737604307034
113,5,Grismarly,Excellent service. They respond fast and are very polite assisting any concerns.,12,0.316642425845017,0.483206774660177
114,1,Floyd Wise,Tried to sign up to get blood pressure meds but they can't find my insurance but for 100 dollars they will hook me up in 15 minutes I already wasted 4 times that 15 minutes  and they still cant or don't want to because they prefer cash I would have given them minus five rating but it was not available,56,,-0.441047864465978
115,1,Kristen,"I never received the results from the sed test that was ordered for me. I was asked to provide a full medical history to the MD treating me, which I spent a good amount of time creating and then emailed in, and never heard back a thing about it...and my last two appointments were completely missed by the MD with Plush care emailing me 30 minutes after the start inviting me to reschedule. Got the message...you don't have time for patients either, just like my MD IRL...",88,0.232417797334329,0.10858470023916
116,1,customer,"This was my third time using plushcare. The other two times were awesome I told all my friends. However I was placed on quarantine by Dr.Saja Magid. She never gave me any prescriptions to cure the problems, she sent me paperwork to get tested for Coronavirus. I gave them the same paperwork she gave after an hour and 30 minutes later I was told the paperwork wasn’t any good. They advised not to go to the emergency. I went back home quarantine 10 days. After that I was suppose to go back to work. I have an email stating I couldn’t go back to work until I take the coronavirus test. After I take the test at cvs by my house I asked her for a doctors notice she didn’t want to give it to me, for the same week she told me I couldn’t go back. After she fixed that issues several email later. Prudential needed her to fill out paperwork about my time off for I can get paid. She refused to fill it out. Now I’m stuck and can’t get paid until for 3 weeks.",192,0.163120213651756,-0.00895152675570835
117,5,Renee,The service was great.The doctor was professional but down to earth. She really listened to my needs. Thanks so much for a good experience from someone who was nervous about going to the doctors.,35,0.200305805322367,0.171619914001651
118,5,Gerald Lee Shatto,"very helpfu,l easy to use and the doctors are great!",11,,0.693476092528856
119,5,Kenneth,"I received timely and immediate professional care via a video conference with one of Plush Cares physicians. As a retired Hospital  Chaplin I know a little about what good medical care is and I would recommend Plush Care to everyone searching for good, compassionate medical care.",46,0.117757575257385,0.983889570159283
120,5,Laura,"Due to Covid, I only had a """"virtual visit"""" with my primary care physician last Spring. After listening to my heart she would've done an EKG an found the afib, but she couldn't because it was well . .  a virtual visit. If not for the FitBit Heart Study, I wouldn't have known about my afib~!! I've had heart failure in the past, and recovered fully, but no history whatsoever of afib. FitBit sent me the heart monitor, which I wore for 10 days. I had a virtual visit with PlushCare's Dr. Jennifer Huldin where she informed me that I was in afib 100% of the time and advised me to call my cardiologist asap, which I did. He immediately put me on blood thinners. I am so very Thankful to the FitBit Heart Study and Plushcare's Dr. Huldin. If I'd waiting until covid was over to have an echocardiogram who knows, I might not have survived~! Thank You All So Much~!!",158,0.206812598779331,0.0637790783090255
121,5,Todd,Plush care has opened my life. I live on a boat and enjoy this freedom.,15,0.0794593112989456,0.556186217847897
122,5,Joyce,This was a very easy to use platform - once I got my different devices working.I would prefer a face to face with someone who knows me but that is getting harder to come by these days and this is a very decent substitute for that with easier access.,49,0.155995018429164,0.419002588619098
123,5,Margaret Thompson,Plush Care was a Godsend for me. The service is great and my doctor was excellent. I would recommend it to anyone who is having trouble finding a good doctor.,30,0.335042004097909,0.52325473978518
124,5,Nunya,"Quick, easy, efficient. Great service and friendly, prompt staff. They far and away exceeded our expectations. Also, I highly recommend Dr. Allan Marks, great """"bedside"""" manner...",26,0.567652823194007,0.705351796354739
126,5,Sam Daniels,A shout out to Dr. Joseph Nichols who made my first telemedicine visit productive and enjoyable.Thank you for your thoughtful and caring approach in discussion; I will return soon to get the tests that you recommended.PlushCare is an oasis of medical services in a somewhat unhinged world.Much appreciated.,51,0.350554421362008,0.512866659232614
127,5,Sandra,"Timely response and submission of prescription,   through eval of medical history and present issues prior to treatment decisions.",18,,-0.117851130197758
128,5,Jennifer Lendahl,I am 100 percent satisfied with PlushCare Vitural Healthcare. My first time using PluahCare was a world away from previous experiences elsewhere. It was good to be treated with professionalism and care. I cannot say enough good things about PlushCare and would choose them over any other medical professionals I've been to in the past. I am so happy with everything about them and recommend them to anyone needing to see a physician. I cannot say enough good things.  Love love love them.  Thank you so much.,86,0.423818685969506,0.282062877175553
129,5,Jessie,PlushCare is wonderful!! They make it so easy for a doctor visit. Dr. Allison Lovell is so kind and professional!  I highly recommend PlushCare!!,24,0.0261937180284155,0.435658027415869
130,5,Dennis,"Used your service for prescription emergency  .. my regular Doctor retired unannounced .. Dr. was professional , and helpful .",16,0.512019690712917,0.13662396963244
131,5,Hanna Michelle,I was having a really bad sinus headache and my own doctor would not see me because of covid so I needed a doctor appointment at the time NOW. So I found there link while searching for a new doctor and I was so relieved to be able to make a vitrual appointment and receive a pecription and be on the road to recovery within 2 hours.The virtual Doctor was very nice and caring thank you for this service.,79,0.512091565275171,0.172357660687845
133,1,eugene tomasie,Wrong diagnoses. Turns out tooth causing synose infection.,8,0.15849364905389,-0.418258151868904
134,5,Cordie,"Satisfying experience, the doctor was exceptional. All video, text & voice communications were seamless.",13,0.272655956744765,0.419575559750666
135,5,Molly,Love PlushCare! So convenient and very user-friendly!,8,0.560307436087194,0.926527273496413
136,5,Tamara,Great service especially in these times. Drs are knowledgeable and spend time asking questions and answering questions. The only way I will see a doctor.,25,0.183718868200332,0.193581534493355
137,5,JMH,Neat outfit! Very organized.,4,0.14,0.664680374315355
139,5,Samantha,"Dr. Marks and the PlushCare team have done an absolutely wonderful job following up with me and answering any and all questions I had. This was my first time using this service and it has honestly saved my relationship with my family, friends, & myself. Thank you for all your wonderful, hard-work!",52,0.133057889548295,0.298798257501561
141,5,Kim,Dr. Austin Smith is AWESOME in every way -- so glad I found him and was able to make him my primary care physician. Customer Service folks are great as well.,30,0.139118840825009,0.589725690650171
142,5,Marlene,"I confidentiality recommend Plush-Care...always personal and caring """"bedside"""" manner!   And if RX needed, it's done before """"visit"""" is finished!!Thank you, Plush-Care",25,0.514772541614822,0.527303196547588
143,5,Shel,I really love going to these doctors they really listen to you and they're helpful and it doesn't take too long.,21,,0.676475459731576
144,5,Wade,"Dr. Evelyn Darius is fantastic, and the service is very convenient.",11,,0.660309844625303
145,5,Lois,"Prompt service, caring physicians, they care about you...you feel like a person not a number",16,0.275,0.371231060122937
146,5,Lisa,I am super pleased with all the help I have received from Dr Saremi. He is so patient and kind. I am so grateful for his services!!,27,0.0982507683735202,0.449153790496394
147,5,Gemma,Dr. Sara Andert is very warm and personable.  She patiently explained what the readings were on my heart monitor.,19,0.46179928364439,0.628052749589801
148,5,Anthony,"The doctor was polite,spoke clearly, listened to my symptoms and then explained why he was going to prescribe a different medication than the one I thought he would.  Cleared up the problem and I went back to normal(as it is right now) selfisolating.",45,0.0184433226973168,0.124458601453116
149,5,Jeffrey Thune,I really can appreciate the platform and the process it all went very smoothly in the doctor was outstanding period very helpful and insightful and was able to help me out.,31,,1.09918444840386
151,5,Keith,Such a great app and company. If I have a question they are very quick to reply via email. If I have a change in prescription they are prompt to fix it. Doctors and customer service are amazing.,38,0.154862593636167,0.268472131483535
152,5,Staci,So easy and efficient. Much easier to get a quick appointment than going to primary care these days,18,0.366666269262756,1.03427220542807
153,5,Joyce,Did a great job of explaining everything and getting me the information.  Thanks!,13,0.24055233800319,0.429903810567666
154,5,Norma,"I am very happy I found you.  I had Covid-19 and my doctor did not have tele visits Saturday and he was not going to any tele visits till Tuesday.  I don't know why but he was not there for me. I was very ill and doctor gave me the right medications, had I waited till Tuesday for my doctor I probably would not be alive now.  Thank you for everything you do.  Please keep up the good work helping people with COVID-19.  I have been referring my friends to you.",91,0.421017761079098,0.346790681208438
155,5,Susan,My primary care doctor is wonderful - knowledgeable and caring.,9,,0.983333333333333
157,5,Brian Balloon,I received good health service as expected.,7,,0.510252038562457
158,5,Christopher,"I love PlushCare.  The fact that I don't have to leave my home to go to a Doctors Office is very comforting and makes me feel safe during these trying times.  I have been seeing Dr. Allan Marks for any health concerns and prescriptions and he has answered all my questions with professionalism, has a listening ear and great bed side manner.  I highly recommend this virtual service.",68,0.204915986620412,0.285385470616446
159,5,Donna,Thanks for seeing me so quickly and for your excellent medical care.,12,,1.03923048454133
160,2,Cynthia,They charge a monthly fee for their services & the doctor I had prescribed a medicine that didn't work so I had to schedule another appt with another Dr. & had to pay another $30 deductible. I canceled their service!,37,0.116936916430366,-0.0902422073268746
161,5,Brad,A great service when people are scared to go to their primary doctor because of Covid-19.,16,,0.15
162,5,Matthew,Dr Caesar was wonderful and has been a huge help to me during the lockdown in helping me keep up with my medications.  I would give PlushCare more than 5 stars if I could.  It has changed the way I access healthcare.,41,0.150482316357212,0.127257959588985
163,5,Stephanie,The customer service is excellent. I really appreciate it.,9,0.00197028551710847,0.448606797749979
164,5,customer,Dr. Elizabeth Klenk is the best Dr I have had since using PlushCare. She is compassionate and informative and intelligent. I will be using her again!,26,0.348810285598347,0.282470415105409
165,5,Michael,"Happy to have a doctor there when you need one, thanks!",11,,0.407040315179981
166,1,Ryan,It’s BS you won’t let me cancel through the app. It resulted in me being charged $14.99 for no reason. I will not be back. It’s clear it’s an intentional ploy to reap additional months charges from your customers.,42,0.193242436782364,-0.130029176046883
167,5,Layla,It's quick and easy to use and the doctors are great.,11,,0.753778361444409
169,5,David,Dr. Garcia's smile is refreshing and reassuring. Our appointments are informative and efficient.,13,0.384831443356845,0.578303141059329
170,1,Sam Stone,"I signed up for their service today and scheduled an appointment for 1PM MST with Dr. Austin Smith. I signed on at 12:55PM MST, signed off at 1:28PM MST. Doctor did not join the call at any point in time.",40,0.0435194139889245,-0.0368029411083254
171,5,John,I was suffering from a pinched nerve in my neck and was in lots of pain with a numb left arm when I called.  Dr. Nancy Rolnik was very helpful and kind. She was thorough in asking questions and was immediately comforting to know I have access to such a knowledgeable and thoughtful professional with the ease of a simple video call. I would absolutely recommend Plush care services and I believe  Dr. Nancy Rolnik is a stand out when it comes to being helpful and accurate. THANK YOU PLUSH CARE!  AND THANK YOU DR ROLNIK!,96,0.622683245596492,0.541018644924209
172,5,Sharon,"My Dr. Was very attentive to my needs. He is compassionate, knowledgeable and very easy to speak with!",18,0.506194228642431,0.676131423204503
173,5,Angela,Participating in the Fitbit Heart Study was an excellent experience from start to finish.,14,,0.33407655239053
174,5,Billy,"On my second visit, my Dr listened for a long time and I felt she was genuinely interested in getting to the bottom of the problem. Her prescription worked and didn't break the bank. Thanks!!",35,0.30709680419089,0.277597588157321
175,5,Linda,Hi my neurologist refused to fill my script she said get it from your provider I didn't have a provider I started to look for one and came across plushcare get your script in 15 min so I called and spoke to Dr Smith I was having very bad anxiety I was at my limit couldn't take one more day he saved me within a few hours I was feeling better I even told my kids how great plushcare is.,79,,-0.168763185138904
176,5,Pam Murphy,"Quick, prompt customer service",4,,0.8
177,5,llunited,"When I could not get in to see my primary doctor, and knew I did not want to go sit and wait at the ER or Urgent Care, I decided to give Plush Care a try.  I was overwhelmingly impressed.  Within 20 minutes of making an appt., I was online speaking with a physician.  He wanted me to go to lab and have test done.  I left immediately after our online visit.  When I arrived at the lab, my orders were already there.  When I went to pick up my meds, they had already been ordered and were being filled.",99,0.14229821605495,0.107553441248408
178,5,Carla,"The physicians are very professional, friendly, helpful and caring.",9,,0.98
